ENSG00000000003	0	,	0	,	0	0
ENSG00000162645	17	,0.0061,0.0008,0.0068,0.0008,0.0053,0.0008,0.0008,0.0008,0.4614,0.0076,0.4622,0.0008,0.0068,0.0008,0.0015,0.0008,0.0008,	0	,	0	2
ENSG00000162650	13	,0.0008,0.0121,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.1021,0.0061,0.0008,0.0008,0.0023,	7	,0.0045,0.0008,0.0008,0.0008,0.0008,0.0061,0.0045,	5	1
ENSG00000162654	21	,0.0015,0.0008,0.0053,0.143,0.1445,0.1445,0.1445,0.1445,0.1445,0.1445,0.1445,0.0008,0.0053,0.2738,0.0008,0.0038,0.0015,0.0008,0.0008,0.0182,0.0038,	8	,0.1445,0.0038,0.0113,0.3207,0.0015,0.0008,0.0023,0.0008,	3	5
ENSG00000162664	6	,0.0008,0.0008,0.0121,0.0008,0.0015,0.0008,	4	,0.0008,0.0121,0.3374,0.4667,	1	1
ENSG00000162669	24	,0.0015,0.0008,0.0008,0.0008,0.1233,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.0008,0.0008,0.0091,0.0008,0.0008,0.0008,0.0023,0.0144,0.0061,0.0015,0.003,0.1649,0.0151,	14	,0.0015,0.0008,0.997,0.0098,0.0008,0.7489,0.0008,0.1021,0.2481,0.0098,0.0121,0.0015,0.1528,0.003,	3	6
ENSG00000162670	6	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	3	,0.0015,0.0015,0.0008,	1	4
ENSG00000162676	9	,0.0159,0.0008,0.0219,0.0008,0.0015,0.0008,0.0008,0.0023,0.0008,	7	,0.0008,0.0008,0.0991,0.0008,0.056,0.0008,0.0076,	0	1
ENSG00000162687	10	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,	12	,0.0439000000000001,0.0008,0.0015,0.0113,0.0159,0.0166,0.9992,0.0008,0.0008,0.0008,0.0174,0.0008,	0	2
ENSG00000162688	37	,0.0605,0.0008,0.0008,0.0008,0.0008,0.0998,0.0008,0.0053,0.0008,0.0008,0.0023,0.0008,0.0129,0.0008,0.0008,0.0015,0.0008,0.0038,0.0061,0.0008,0.0567,0.1203,0.0061,0.0257,0.0008,0.0287,0.0136,0.0091,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0219,0.0023,0.0008,	13	,0.0008,0.0008,0.9334,0.0015,0.0015,0.0204,0.0151,0.0151,0.0023,0.003,0.0045,0.0008,0.0008,	1	6
ENSG00000162692	14	,0.0008,0.0008,0.0008,0.0234,0.0234,0.0008,0.1369,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0794,	3	,0.0038,0.1672,0.3071,	3	3
ENSG00000162694	6	,0.0076,0.0008,0.0008,0.0008,0.0008,0.0008,	4	,0.0567,0.0008,0.1399,0.025,	1	0
ENSG00000162695	4	,0.0008,0.0008,0.0008,0.0015,	3	,0.0008,0.0008,0.0023,	1	3
ENSG00000162702	4	,0.0008,0.0061,0.0061,0.0008,	14	,0.0174,0.0008,0.0008,0.0008,0.0038,0.0008,0.0008,0.0008,0.0348,0.003,0.0144,0.0008,0.0023,0.149,	3	1
ENSG00000162704	1	,0.0008,	2	,0.2027,0.2262,	0	0
ENSG00000162706	2	,0.0008,0.0015,	8	,0.0008,0.0303,0.003,0.0008,0.0008,0.0877,0.0363,0.0008,	0	6
ENSG00000162711	14	,0.0023,0.0008,0.0015,0.0023,0.0008,0.0068,0.0008,0.0008,0.0008,0.0015,0.0083,0.0008,0.0008,0.0015,	21	,0.0008,0.0295,0.0008,0.0008,0.2277,0.1566,0.0015,0.0008,0.0061,0.0008,0.0008,0.0053,0.0008,0.0015,0.0227,0.0008,0.0061,0.0015,0.0015,0.0008,0.0008,	3	9
ENSG00000162714	14	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0038,0.0038,	9	,0.0053,0.0015,0.0166,0.0008,0.0015,0.0008,0.0008,0.0008,0.0045,	2	1
ENSG00000162722	19	,0.5832,0.0008,0.0431,0.0008,0.0008,0.0219,0.0008,0.0008,0.0008,0.0076,0.0015,0.0023,0.0008,0.0787,0.0015,0.0008,0.0401,0.0091,0.0008,	11	,0.0008,0.0008,0.3298,0.0045,0.0734,0.0499,0.2413,0.003,0.0015,0.466,0.0008,	4	2
ENSG00000162727	17	,0.0098,0.0159,0.0008,0.0008,0.0045,0.0008,0.0008,0.0008,0.0348,0.0061,0.0159,0.0053,0.0159,0.0257,0.0015,0.0454,0.0575,	4	,0.0265,0.0008,0.0151,0.0136,	4	3
ENSG00000162728	1	,0.1475,	4	,0.028,0.0015,0.0008,0.0023,	0	0
ENSG00000162729	7	,0.0008,0.0015,0.0008,0.0424,0.0008,0.0015,0.0008,	13	,0.0008,0.0008,0.0008,0.0008,0.0091,0.0189,0.9713,0.0008,0.0008,0.0862,0.0431,0.0015,0.0008,	0	0
ENSG00000162733	6	,0.0008,0.0061,0.0008,0.0098,0.0008,0.0008,	13	,0.0008,0.0174,0.0015,0.0008,0.0113,0.5023,0.0008,0.0008,0.0008,0.0008,0.0008,0.028,0.0008,	1	2
ENSG00000162734	0	,	1	,0.003,	0	0
ENSG00000162735	1	,0.0008,	6	,0.9486,0.0008,0.0008,0.003,0.0015,0.0068,	0	1
ENSG00000162736	5	,0.0023,0.0567,0.0008,0.0008,0.0008,	16	,0.0008,0.0537,0.0015,0.0008,0.9985,0.0015,0.739,0.059,0.0023,0.0015,0.9917,0.0363,0.0242,0.0015,0.0121,0.0008,	1	2
ENSG00000162738	8	,0.0061,0.0008,0.0008,0.0008,0.0015,0.0015,0.0015,0.0008,	10	,0.0008,0.0008,0.0008,0.0015,0.0182,0.1997,0.0008,0.0008,0.1702,0.2375,	0	3
ENSG00000162739	5	,0.0008,0.0023,0.0023,0.0008,0.0008,	4	,0.0182,0.0091,0.0378,0.0008,	6	0
ENSG00000162745	21	,0.003,0.0121,0.0008,0.4244,0.0008,0.0038,0.0129,0.0008,0.0356,0.0091,0.0189,0.0552,0.0008,0.0008,0.0023,0.9992,0.0015,0.0061,0.0015,0.0038,0.1604,	12	,0.0023,0.0832,0.0008,0.0015,0.0106,0.941,0.0635,0.0015,0.0015,0.5582,0.0008,0.0015,	4	8
ENSG00000162746	16	,0.0068,0.0008,0.0023,0.0129,0.0008,0.0008,0.0008,0.0008,0.0552,0.652,0.0703,0.0008,0.0023,0.0061,0.034,0.0015,	3	,0.0015,0.0106000000000001,0.0068,	2	1
ENSG00000162753	14	,0.0008,0.0371,0.003,0.0008,0.0008,0.0008,0.1293,0.2118,0.0008,0.0454,0.0008,0.0204,0.0008,0.0605,	12	,0.0136,0.0008,0.0015,0.0234,0.329,0.0454,0.4682,0.0015,0.0008,0.2466,0.0212,0.0008,	3	3
ENSG00000162755	9	,0.0023,0.0015,0.0061,0.0008,0.0666,0.0008,0.0008,0.0008,0.0008,	3	,0.0008,0.0015,0.0015,	1	2
ENSG00000162757	2	,0.2231,0.0008,	2	,0.0008,0.0008,	1	2
ENSG00000162761	5	,0.0008,0.0008,0.0038,0.0008,0.0008,	10	,0.00449999999999995,0.003,0.0386,0.0023,0.2867,0.1263,0.0091,0.0015,0.0008,0.0045,	0	0
ENSG00000162763	3	,0.0008,0.1006,0.0015,	7	,0.0061,0.0023,0.0008,0.0159,0.0008,0.6233,0.0038,	0	1
ENSG00000162769	7	,0.0008,0.0008,0.2269,0.0008,0.0045,0.1316,0.0008,	4	,0.0008,0.0008,0.0038,0.0008,	1	2
ENSG00000162771	25	,0.0008,0.0008,0.0008,0.0008,0.0068,0.0008,0.0045,0.0008,0.4554,0.0008,0.0779,0.9917,0.0008,0.0877,0.0083,0.0023,0.0008,0.0015,0.0008,0.0008,0.0083,0.0008,0.0008,0.2269,0.6641,	9	,0.0023,0.0008,0.0015,0.9599,0.0023,0.031,0.031,0.0045,0.1021,	11	4
ENSG00000162772	3	,0.0061,0.0061,0.0008,	2	,0.0061,0.0015,	0	1
ENSG00000162775	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	20	,0.0008,0.0008,0.0484,0.0008,0.0023,0.0136,0.0008,0.0008,0.0008,0.0008,0.0008,0.0318,0.0219,0.0008,0.0303,0.0008,0.0144,0.1051,0.0008,0.0008,	0	2
ENSG00000162777	8	,0.0008,0.0008,0.0212,0.0023,0.0008,0.0008,0.0008,0.0008,	9	,0.003,0.1536,0.0008,0.0008,0.0008,0.0401,0.0008,0.0008,0.0008,	0	1
ENSG00000162779	24	,0.0008,0.0008,0.0008,0.0008,0.0159,0.0038,0.0015,0.0008,0.0008,0.0008,0.2882,0.0008,0.0144,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0038,0.0008,0.0008,0.0008,0.2496,	11	,0.2799,0.0008,0.0008,0.0008,0.0038,0.0008,0.0257,0.1014,0.0015,0.1399,0.0015,	1	3
ENSG00000162782	24	,0.0008,0.0408,0.0877,0.0008,0.1717,0.0008,0.0408,0.0121,0.0008,0.9092,0.0008,0.0008,0.0008,0.0121,0.0356,0.0008,0.0129,0.0008,0.0008,0.0083,0.0008,0.0008,0.0008,0.0008,	16	,0.8744,0.0023,0.0008,0.0272,0.0061,0.0008,0.0008,0.0023,0.2837,0.0008,0.0008,0.0008,0.0628,0.121,0.0628,0.0129,	5	4
ENSG00000162783	9	,0.2489,0.0008,0.1218,0.0068,0.2489,0.1203,0.0008,0.0234,0.0008,	5	,0.0038,0.0416,0.0008,0.0023,0.0008,	0	2
ENSG00000162804	35	,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0023,0.0008,0.0008,0.0008,0.0015,0.0008,0.0159,0.0008,0.0008,0.0008,0.0098,0.0008,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0038,0.0227,0.0008,0.8782,0.0023,0.0711,0.0015,0.0023,0.2489,	35	,0.0038,0.0008,0.2231,0.0008,0.1218,0.0113,0.0015,0.0008,0.0015,0.025,0.3941,0.0287,0.0318,0.0272,0.0008,0.0045,0.2126,0.0015,0.0106,0.0008,0.0015,0.2179,0.0348,0.0008,0.0083,0.3404,0.0023,0.0008,0.0008,0.0166,0.2231,0.0023,0.0008,0.0008,0.0008,	10	8
ENSG00000162813	7	,0.0008,0.0008,0.0076,0.0008,0.0008,0.0008,0.0008,	3	,0.0174,0.003,0.0015,	0	1
ENSG00000162814	8	,0.0008,0.0008,0.0008,0.0038,0.0008,0.0008,0.0008,0.0182,	9	,0.0038,0.0008,0.3011,0.0817,0.3139,0.0439,0.0008,0.0008,0.0091,	1	0
ENSG00000162817	4	,0.0008,0.0008,0.0098,0.0008,	0	,	0	0
ENSG00000162819	5	,0.0008,0.0325,0.0008,0.0038,0.0008,	4	,0.0151,0.0008,0.0023,0.003,	1	3
ENSG00000162843	36	,0.0008,0.0151,0.0008,0.0008,0.0008,0.0008,0.003,0.003,0.0386,0.0038,0.0008,0.0008,0.0023,0.0023,0.0008,0.0144,0.0008,0.2988,0.0008,0.2194,0.0015,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.2186,0.0023,0.0401,0.0272,0.0015,0.0015,0.0008,	12	,0.0015,0.0008,0.0008,0.1082,0.0023,0.2405,0.0098,0.1815,0.0008,0.0008,0.0008,0.0023,	2	7
ENSG00000162849	49	,0.0008,0.0008,0.0015,0.0008,0.0091,0.0008,0.0053,0.0023,0.0015,0.0008,0.0098,0.0008,0.0008,0.0008,0.003,0.0023,0.0008,0.0008,0.0053,0.0061,0.0083,0.0015,0.0015,0.0008,0.0008,0.0083,0.0182,0.0008,0.0008,0.0015,0.0008,0.0061,0.0008,0.0499,0.0008,0.0083,0.0015,0.0159,0.0023,0.0008,0.0008,0.0008,0.0045,0.0008,0.0136,0.0015,0.0008,0.1172,0.003,	64	,0.0023,0.0015,0.0008,0.0045,0.0061,0.0008,0.0008,0.1914,0.0091,0.0008,0.0204,0.0204,0.0008,0.0008,0.0318,0.0008,0.0015,0.0008,0.0514,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0159,0.0719,0.0023,0.0008,0.0567,0.0008,0.0015,0.0008,0.0408,0.0008,0.0129,0.0023,0.0023,0.003,0.2307,0.0008,0.0008,0.0038,0.8926,0.0234,0.0257,0.0023,0.0008,0.0008,0.00149999999999995,0.0295,0.0008,0.0136,0.0008,0.0008,0.0113,0.0008,0.0015,0.0015,0.1248,0.3298,0.0008,0.0015,0.0061,	30	17
ENSG00000162851	7	,0.0008,0.0023,0.0008,0.0008,0.0008,0.0023,0.0023,	6	,0.0008,0.8268,0.4312,0.0189,0.003,0.0242,	1	3
ENSG00000162852	18	,0.0008,0.1135,0.205,0.0015,0.0076,0.0008,0.0635,0.0008,0.0106,0.0068,0.0008,0.0635,0.0008,0.0008,0.0008,0.0083,0.0008,0.0008,	5	,0.0038,0.0008,0.0015,0.0008,0.0008,	4	6
ENSG00000162869	17	,0.0008,0.0008,0.0008,0.0023,0.0015,0.0023,0.0008,0.0234,0.0106,0.0008,0.0113,0.0008,0.003,0.0008,0.0008,0.0008,0.0008,	12	,0.0023,0.0772,0.0023,0.0045,0.0008,0.003,0.0113,0.0023,0.0008,0.0174,0.9213,0.0008,	0	0
ENSG00000162873	7	,0.0015,0.0008,0.0023,0.0023,0.0008,0.0008,0.003,	14	,0.0219,0.0174,0.0045,0.0386,0.0008,0.0008,0.2247,0.0219,0.2247,0.0008,0.0045,0.0015,0.1755,0.025,	0	3
ENSG00000162877	19	,0.0008,0.0008,0.3487,0.1339,0.0008,0.0008,0.0008,0.3691,0.0008,0.0008,0.0008,0.0204,0.1868,0.1256,0.0545,0.0008,0.0008,0.053,0.0023,	7	,0.0113,0.0303,0.0008,0.0015,0.0008,0.0008,0.053,	2	4
ENSG00000162878	11	,0.0015,0.9523,0.0023,0.0008,0.0008,0.0008,0.0045,0.0008,0.0008,0.0008,0.0008,	8	,0.0061,0.3359,0.1377,0.0136,0.0098,0.0008,0.0182,0.0182,	0	1
ENSG00000162881	0	,	0	,	0	2
ENSG00000162882	6	,0.0008,0.0008,0.0008,0.1838,0.1089,0.0068,	5	,0.0008,0.0053,0.0189,0.0189,0.0023,	2	0
ENSG00000162885	7	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0318,	6	,0.0008,0.0008,0.0008,0.0023,0.4107,0.0023,	2	1
ENSG00000162891	3	,0.0091,0.0015,0.0008,	4	,0.0008,0.0008,0.0008,0.0189,	0	0
ENSG00000162892	7	,0.0703,0.0008,0.0008,0.0015,0.2905,0.0613,0.0023,	1	,0.0038,	2	0
ENSG00000162894	11	,0.0008,0.0053,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.0015,0.0008,0.0174,	6	,0.0008,0.0008,0.0008,0.0008,0.0068,0.1717,	2	3
ENSG00000162896	13	,0.0008,0.7632,0.0015,0.9992,0.2617,0.0015,0.0083,0.1944,0.0008,0.0008,0.0008,0.0008,0.0015,	16	,0.0008,0.0008,0.0053,0.0015,0.7398,0.0008,0.0083,0.0008,0.0008,0.0023,0.0015,0.0008,0.6921,0.0681,0.0008,0.0008,	10	3
ENSG00000162897	18	,0.146,0.0008,0.0008,0.0091,0.0348,0.0008,0.0045,0.0008,0.0008,0.0023,0.0023,0.0053,0.0008,0.0015,0.0189,0.0015,0.003,0.0008,	8	,0.0023,0.003,0.0129,0.239,0.0008,0.0159,0.0045,0.3797,	5	5
ENSG00000162909	19	,0.0461,0.0008,0.0008,0.0061,0.0008,0.0008,0.0045,0.0023,0.0045,0.0008,0.0008,0.1732,0.0008,0.0983,0.0008,0.0015,0.0015,0.0008,0.0817,	13	,0.0008,0.0008,0.0242,0.351,0.0023,0.028,0.6437,0.0008,0.289,0.0008,0.0159,0.0038,0.0008,	0	4
ENSG00000162910	3	,0.0008,0.0008,0.028,	1	,0.053,	2	0
ENSG00000162913	2	,0.0008,0.0023,	0	,	2	2
ENSG00000162923	6	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	6	,0.031,0.0008,0.0008,0.0038,0.0008,0.0242,	0	0
ENSG00000162924	9	,0.0008,0.0008,0.0008,0.0008,0.0008,0.025,0.0008,0.0008,0.0023,	10	,0.0015,0.0008,0.0492,0.0008,0.0015,0.0015,0.0038,0.0008,0.0008,0.0174,	2	2
ENSG00000162927	13	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0658,0.0008,0.0008,0.0008,0.0008,0.0008,	4	,0.4304,0.0023,0.0008,0.0144,	3	2
ENSG00000162928	12	,0.0008,0.0008,0.0015,0.0008,0.0038,0.0439,0.0008,0.0008,0.0008,0.0008,0.0008,0.003,	7	,0.003,0.0045,0.0023,0.0008,0.0023,0.0008,0.0076,	0	2
ENSG00000162929	9	,0.0008,0.0008,0.0272,0.0008,0.0053,0.0008,0.0015,0.0817,0.0575,	5	,0.3911,0.2632,0.0008,0.0008,0.0015,	4	1
ENSG00000162931	14	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0378,0.0008,0.0008,0.0204,0.0008,0.0008,0.9796,0.0008,0.0008,	15	,0.0189,0.0673,0.0091,0.0008,0.0008,0.0008,0.0008,0.0144,0.0015,0.0008,0.0265,0.1014,0.1747,0.0015,0.9796,	2	6
ENSG00000162944	12	,0.0008,0.0008,0.0023,0.0015,0.0015,0.0008,0.0008,0.0061,0.0008,0.0008,0.0015,0.0008,	5	,0.0015,0.0008,0.0015,0.1324,0.0008,	3	1
ENSG00000162946	17	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.1884,0.0008,0.7784,0.7784,0.0008,0.0008,0.3782,0.0113,0.0008,	11	,0.0008,0.0098,0.0076,0.0575,0.2141,0.0015,0.0113,0.0174,0.0015,0.0008,0.0008,	8	6
ENSG00000162949	16	,0.0076,0.0053,0.0219,0.003,0.0008,0.0091,0.0377999999999999,0.0008,0.0045,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,	9	,0.0023,0.0008,0.0015,0.8525,0.0144,0.0015,0.0113,0.0008,0.0015,	1	5
ENSG00000162951	9	,0.0008,0.0628,0.4924,0.0008,0.0061,0.0008,0.0008,0.0023,0.0008,	10	,0.8396,0.0045,0.0008,0.0295,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,	0	1
ENSG00000162959	2	,0.0008,0.0008,	0	,	0	2
ENSG00000162961	0	,	0	,	0	0
ENSG00000162971	5	,0.0023,0.0008,0.0015,0.0023,0.0015,	2	,0.0008,0.0008,	0	2
ENSG00000162972	4	,0.0023,0.0008,0.0008,0.0008,	2	,0.0008,0.0008,	1	1
ENSG00000162975	1	,0.0008,	13	,0.0008,0.0008,0.0212,0.0008,0.0166,0.0166,0.0008,0.0008,0.3389,0.003,0.0915,0.025,0.0008,	0	0
ENSG00000162976	7	,0.0106,0.0008,0.0008,0.0008,0.0023,0.0015,0.0053,	1	,0.0008,	1	0
ENSG00000162980	2	,0.0008,0.0008,	2	,0.0408,0.0008,	0	1
ENSG00000162981	2	,0.0023,0.0008,	2	,0.0976,0.0008,	0	1
ENSG00000162989	0	,	3	,0.0015,0.1293,0.0008,	0	2
ENSG00000162992	4	,0.0015,0.0023,0.0015,0.2693,	4	,0.0023,0.0008,0.0015,0.0091,	0	5
ENSG00000162994	15	,0.5204,0.0204,0.00229999999999997,0.0045,0.0567,0.0015,0.0008,0.0008,0.0008,0.0045,0.0008,0.3699,0.0008,0.0113,0.0061,	9	,0.0015,0.0008,0.09,0.0008,0.0008,0.0008,0.0008,0.0008,0.1324,	2	2
ENSG00000162998	5	,0.323,0.0091,0.0008,0.0008,0.0015,	4	,0.0008,0.0113,0.0091,0.0242,	0	0
ENSG00000162999	4	,0.0166,0.0008,0.0023,0.0038,	3	,0.0015,0.0015,0.0008,	0	0
ENSG00000163001	8	,0.0295,0.0008,0.0008,0.0023,0.0151,0.3964,0.0008,0.0008,	1	,0.0015,	0	0
ENSG00000163002	3	,0.0008,0.0008,0.0008,	6	,0.0008,0.0008,0.0333,0.0023,0.0015,0.0008,	0	0
ENSG00000163006	12	,0.0045,0.0008,0.0461,0.0582,0.3623,0.0008,0.0212,0.0015,0.0015,0.0008,0.0008,0.0023,	9	,0.0091,0.0008,0.1762,0.0008,0.2186,0.0023,0.0008,0.0008,0.0008,	3	0
ENSG00000163009	6	,0.0008,0.0008,0.0023,0.0008,0.0038,0.0144,	2	,0.0008,0.0008,	3	1
ENSG00000163012	29	,0.0166,0.0008,0.0008,0.0008,0.4213,0.0008,0.0015,0.5787,0.0008,0.0008,0.5787,0.0008,0.0008,0.0023,0.0008,0.003,0.0008,0.4213,0.0008,0.0008,0.003,0.0015,0.4213,0.0008,0.003,0.0008,0.0257,0.0008,0.1233,	11	,0.3154,0.1059,0.5787,0.0008,0.003,0.003,0.0038,0.0015,0.0976,0.0008,0.0008,	1	5
ENSG00000163013	15	,0.0008,0.0008,0.0008,0.0484,0.0008,0.0008,0.0023,0.2837,0.0008,0.0008,0.0015,0.0008,0.0008,0.0023,0.0008,	11	,0.0061,0.0008,0.1498,0.0348,0.0015,0.0008,0.0008,0.0015,0.0008,0.0023,0.0166,	0	2
ENSG00000163017	0	,	4	,0.0008,0.0015,0.6097,0.0908,	0	2
ENSG00000163026	14	,0.0023,0.0008,0.003,0.0015,0.0045,0.0008,0.0023,0.0008,0.0008,0.0015,0.0008,0.0772,0.0023,0.0008,	4	,0.0204,0.0008,0.0008,0.0008,	1	5
ENSG00000163029	11	,0.0008,0.9992,0.0015,0.0008,0.0008,0.3548,0.0567,0.0023,0.0008,0.0008,0.0015,	7	,0.0008,0.0008,0.0499,0.0061,0.0008,0.0053,0.0023,	0	4
ENSG00000163032	1	,0.0008,	2	,0.0008,0.0008,	0	0
ENSG00000163040	22	,0.0083,0.0015,0.0015,0.0023,0.0008,0.0023,0.0023,0.0174,0.0008,0.0008,0.0106,0.0461,0.0023,0.0008,0.2965,0.9977,0.9924,0.0008,0.0182,0.0091,0.0076,0.0023,	6	,0.0015,0.1067,0.0083,0.0454,0.0008,0.0008,	11	9
ENSG00000163041	1	,0.0008,	0	,	1	0
ENSG00000163046	5	,0.003,0.0008,0.0234,0.0008,0.0015,	1	,0.0144,	5	3
ENSG00000163050	19	,0.0015,0.0008,0.0008,0.848,0.0023,0.0008,0.0045,0.0008,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.0008,0.0008,0.0015,0.003,0.0008,	20	,0.0008,0.0061,0.031,0.0015,0.0008,0.0068,0.0144,0.0008,0.003,0.0015,0.0015,0.0008,0.0008,0.1649,0.0008,0.0008,0.7118,0.003,0.0038,0.0053,	8	8
ENSG00000163053	9	,0.0083,0.0008,0.0008,0.0008,0.003,0.0008,0.0015,0.0008,0.0008,	6	,0.0008,0.0106,0.0802,0.0008,0.0121,0.0015,	0	1
ENSG00000163064	1	,0.0008,	9	,0.0408,0.0113,0.0008,0.0008,0.0015,0.0061,0.0008,0.028,0.0008,	1	4
ENSG00000163069	3	,0.0015,0.0061,0.0008,	4	,0.0008,0.0008,0.0008,0.0015,	1	2
ENSG00000163071	22	,0.0023,0.0008,0.0008,0.0151,0.0068,0.0008,0.0015,0.0008,0.084,0.0008,0.0015,0.0023,0.003,0.0023,0.0008,0.0015,0.0008,0.0023,0.0045,0.0008,0.0015,0.0008,	10	,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0106,0.0038,0.0008,0.0015,	7	2
ENSG00000163075	24	,0.5794,0.0015,0.0151,0.0008,0.0053,0.0008,0.0008,0.0015,0.0015,0.0008,0.0008,0.0008,0.0008,0.003,0.0008,0.0008,0.0802,0.0008,0.0083,0.0008,0.2239,0.0008,0.0008,0.0008,	13	,0.0008,0.0008,0.0008,0.003,0.0265,0.0008,0.0083,0.0522,0.0416,0.0008,0.0008,0.0008,0.0008,	1	4
ENSG00000163081	5	,0.0008,0.0817,0.0008,0.0038,0.0008,	2	,0.0008,0.0008,	1	0
ENSG00000163082	5	,0.0053,0.0038,0.0008,0.0008,0.0008,	12	,0.0008,0.0008,0.0008,0.0008,0.7216,0.7262,0.0008,0.0053,0.0008,0.3654,0.1346,0.0174,	1	1
ENSG00000163083	4	,0.5257,0.0008,0.0008,0.0008,	7	,0.0008,0.0371,0.0008,0.0038,0.0008,0.1067,0.0008,	0	1
ENSG00000163092	15	,0.0499,0.0008,0.0045,0.0008,0.0113,0.0053,0.0076,0.053,0.0068,0.003,0.0008,0.0053,0.0015,0.2882,0.0015,	7	,0.0431,0.003,0.0008,0.0113,0.0787,0.0008,0.6732,	26	18
ENSG00000163098	8	,0.0219,0.0212,0.708,0.0008,0.2466,0.0038,0.0045,0.0061,	4	,0.0015,0.0015,0.0469,0.8411,	1	4
ENSG00000163104	13	,0.0076,0.0008,0.0098,0.2012,0.0439000000000001,0.0008,0.0008,0.0008,0.0008,0.0038,0.0015,0.0015,0.0008,	7	,0.0008,0.0008,0.0673,0.3396,0.0008,0.0008,0.0076,	0	1
ENSG00000163106	3	,0.9576,0.0159,0.0257,	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	0	2
ENSG00000163110	12	,0.0008,0.0023,0.0008,0.0045,0.000800000000000023,0.1528,0.0159,0.0008,0.0393,0.0008,0.0008,0.003,	9	,0.0008,0.0159,0.0008,0.1339,0.2504,0.4955,0.0008,0.0008,0.0008,	2	2
ENSG00000163114	10	,0.0038,0.0106,0.0008,0.0008,0.0038,0.0008,0.0008,0.0008,0.0106,0.0605,	6	,0.0008,0.0008,0.0008,0.0068,0.0106,0.0008,	0	0
ENSG00000163116	13	,0.0015,0.1059,0.0008,0.0129,0.0008,0.0053,0.0008,0.025,0.1089,0.4425,0.4425,0.0469,0.0129,	6	,0.0023,0.3707,0.3714,0.0008,0.4425,0.0015,	2	1
ENSG00000163126	9	,0.0061,0.003,0.0008,0.0023,0.0008,0.0008,0.003,0.0008,0.0038,	4	,0.0008,0.0076,0.0008,0.0008,	2	1
ENSG00000163131	5	,0.261,0.0008,0.0008,0.0008,0.0008,	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	0	1
ENSG00000163132	7	,0.0893,0.0008,0.0159,0.0008,0.0023,0.0015,0.0008,	5	,0.0023,0.0023,0.0923,0.0015,0.0023,	0	0
ENSG00000163138	2	,0.0008,0.0106,	2	,0.0008,0.0008,	2	1
ENSG00000163141	12	,0.0023,0.003,0.0008,0.0008,0.0008,0.0015,0.0008,0.0015,0.146,0.0522,0.0265,0.0008,	1	,0.0008,	0	1
ENSG00000163145	5	,0.0008,0.0091,0.0008,0.0015,0.0008,	11	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0068,0.0144,0.0015,0.0045,0.003,	0	2
ENSG00000163154	1	,0.0008,	2	,0.1067,0.0015,	1	1
ENSG00000163155	1	,0.0076,	4	,0.0008,0.0424,0.0008,0.0008,	1	0
ENSG00000163156	4	,0.0008,0.003,0.0008,0.0749,	2	,0.0151,0.0008,	1	0
ENSG00000163157	9	,0.0333,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0499,0.0015,	2	,0.0136,0.0008,	0	1
ENSG00000163161	12	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	12	,0.0015,0.0008,0.0008,0.0008,0.0439,0.0166,0.0008,0.0567,0.0008,0.0129,0.0008,0.0113,	1	0
ENSG00000163162	6	,0.3722,0.0023,0.0008,0.0303,0.2322,0.0008,	3	,0.0015,0.0008,0.0023,	0	1
